PRODUCT_ID,PRODUCT_NAME,<-- Product Family -->,<-- Product,<-- Product Line
01t50000005AtyDAAS,Conga Contracts - Add-on: Negotiation Portal,,Conga CLM,Conga CLM
01t1T0000059yKrQAI,Conga Contracts - Add-on: Request/View Only User from Salesforce,,Conga CLM,Conga CLM
01t50000005AtxtAAC,Conga Contracts - Add-on: Supplier Registration Portal,,Conga CLM,Conga CLM
01t50000005AzdpAAC,Conga Contracts - Add-on: Yearly Backup Service,,Conga CLM,Conga CLM
01t50000005AzeiAAC,Conga Contracts - Analytics User,,Conga CLM,Conga CLM
01t1T000005KTYhQAO,Conga Contracts - Data Migration Services,,Conga CLM,Conga CLM
01t50000005B1UQAA0,Conga Contracts - DS/Adobe Cloud User,,Conga CLM,Conga CLM
01t50000005Aty3AAC,Conga Contracts - Enterprise Edition,,Conga CLM,Conga CLM
01t50000005AzeTAAS,Conga Contracts - On Premises,,Conga CLM,Conga CLM
01t50000005AtyrAAC,Conga Contracts - Sandbox Annual Maintenance,,Conga CLM,Conga CLM
01t1T000004900vQAA,Conga Contracts - Sandbox Set-up,,Conga CLM,Conga CLM
01t500000046I3tAAE,Conga Contracts Enterprise CLM,,Conga CLM,Conga CLM
01t1T000005emm4QAA,Conga Contracts for Salesforce – Add-on: Request/View Only User - Site License,,Conga CLM,Conga CLM
01t50000005AtxyAAC,Conga Contracts for Salesforce - Business,,Conga CLM,Conga CLM
01t50000005BBcDAAW,Conga Contracts for Salesforce - Enterprise,,Conga CLM,Conga CLM
01t1T000005e9uDQAQ,Conga Contracts for Salesforce - Enterprise - Navigate Solution,,Conga CLM,Conga CLM
01t50000005Aty8AAC,Conga Contracts for Salesforce - Negotiator,,Conga CLM,Conga CLM
01t50000004mQCHAA2,Conga Contracts for Salesforce - Request Only,,Conga CLM,Conga CLM
01t50000004lb7QAAQ,Conga Contracts Legal User,,Conga CLM,Conga CLM
01t50000004lb7fAAA,Conga Contracts Sales User,,Conga CLM,Conga CLM
01t3Z000005Vv49QAC,Contract Generator Accelerator,,Conga CLM,Conga CLM
01t50000005AtPeAAK,Transform - Conga Contracts for Salesforce - Business,,Conga CLM,Conga CLM
01t50000005AtPjAAK,Transform - Conga Contracts for Salesforce - Enterprise,,Conga CLM,Conga CLM
01t500000046IT9AAM,Transform for Conga Contracts for Salesforce CPQ,,Conga CLM,Conga CLM
01t1T000005pkgBQAQ,Conga Composer - Add-on: Batch / Trigger Service Events - Starter Pack - Bundle,,Conga Composer,Conga Composer
01t50000005At6xAAC,Conga Composer - Business - Overage,,Conga Composer,Conga Composer
01t1T000005pkg6QAA,Conga Composer - Business - Per Click Events - Starter Pack - Bundle,,Conga Composer,Conga Composer
01t1T000005Bs4iQAC,Conga Composer - Business - Starter Pack - Bundle,,Conga Composer,Conga Composer
01t1T000005pkg1QAA,Conga Composer - Enterprise - Starter Pack - Bundle,,Conga Composer,Conga Composer
01t50000005AtThAAK,Conga Composer - Service Level Agreement Credit,,Conga Composer,Conga Composer
01t3Z000004br84QAA,Conga Composer Advanced Features,,Conga Composer,Conga Composer
01t3Z000005VufIQAS,Conga Composer Business Batch/Trigger Per Service Events,,Conga Composer,Conga Composer
01t3Z000004br7kQAA,Conga Composer Business Batch/Trigger Service Events Block of 500,,Conga Composer,Conga Composer
01t3Z000004br7uQAA,Conga Composer Business Edition for Communities/Force.com Users,,Conga Composer,Conga Composer
01t3Z000005VufKQAS,Conga Composer Business Edition Per Click Events,,Conga Composer,Conga Composer
01t3Z000004br7aQAA,Conga Composer Business Edition Per Click Events Block of 500,,Conga Composer,Conga Composer
01t3Z000004br7pQAA,Conga Composer Business Edition User,,Conga Composer,Conga Composer
01t3Z000005VufJQAS,Conga Composer Enterprise Batch/Trigger Per Service Events,,Conga Composer,Conga Composer
01t3Z000004br8JQAQ,Conga Composer Enterprise Batch/Trigger Service Events Block of 500,,Conga Composer,Conga Composer
01t50000003wgwXAAQ,Conga Composer Enterprise Edition Accelerate Professional Services,,Conga Composer,Conga Composer
01t3Z000004br7zQAA,Conga Composer Enterprise Edition for Communities/Force.com Users,,Conga Composer,Conga Composer
01t50000003wgwSAAQ,Conga Composer Enterprise Edition QuickStart Professional Services,,Conga Composer,Conga Composer
01t50000003wgwcAAA,Conga Composer Enterprise Edition Transform Professional Services,,Conga Composer,Conga Composer
01t3Z000004br8EQAQ,Conga Composer Enterprise Edition User,,Conga Composer,Conga Composer
01t50000001avflAAA,Conga Composer for Salesforce CRM - Consulting Reseller,,Conga Composer,Conga Composer
01t50000001avgAAAQ,Conga Composer for Salesforce CRM - Consulting Reseller,,Conga Composer,Conga Composer
01t50000001avgPAAQ,Conga Composer for Salesforce CRM - Consulting Reseller,,Conga Composer,Conga Composer
01t500000026A2AAAU,Conga Composer for Salesforce CRM - Consulting Reseller (25%),,Conga Composer,Conga Composer
01t500000026A1vAAE,Conga Composer for Salesforce CRM - Consulting Reseller (25%),,Conga Composer,Conga Composer
01t500000026A1qAAE,Conga Composer for Salesforce CRM - Consulting Reseller (25%),,Conga Composer,Conga Composer
01t50000002ckBCAAY,Conga Composer for Salesforce CRM Communities and Force.com Platform,,Conga Composer,Conga Composer
01t50000002sMrdAAE,Conga Composer for Salesforce CRM Communities and Force.com Platform- Reseller (25%),,Conga Composer,Conga Composer
01t50000002sMriAAE,Conga Composer for Salesforce CRM Communities and Force.com Platform-Reseller (25%),,Conga Composer,Conga Composer
01t50000002sMrTAAU,Conga Composer for Salesforce CRM Communities and Force.com Platform-Reseller (25%),,Conga Composer,Conga Composer
01t50000001ABPKAA4,Conga Composer for Salesforce CRM Portal and Force.com Platform,,Conga Composer,Conga Composer
01t50000001AabTAAS,Conga Composer for Salesforce CRM Portal and Force.com Platform - Consulting Reseller,,Conga Composer,Conga Composer
01t5000000250dFAAQ,"Conga Composer for Salesforce CRM Portal and Force.com Platform - ISV/OEM (Fusion Tier 2,500+)",,Conga Composer,Conga Composer
01t50000001avePAAQ,Conga Composer for Salesforce CRM Portal and Force.com Platform - ISV/OEM Tier 04,,Conga Composer,Conga Composer
01t50000001aveUAAQ,Conga Composer for Salesforce CRM Portal and Force.com Platform - ISV/OEM Tier 05,,Conga Composer,Conga Composer
01t50000001aveZAAQ,Conga Composer for Salesforce CRM Portal and Force.com Platform - ISV/OEM Tier 06,,Conga Composer,Conga Composer
01t50000001ATnLAAW,Conga Composer for Salesforce CRM- Unlimited Enterprise Access,,Conga Composer,Conga Composer
01t50000002rpjDAAQ,"Conga Composer for Salesforce CRM, DocuSign Tier 2 (300+)",,Conga Composer,Conga Composer
01t50000001avfMAAQ,"Conga Composer for Salesforce CRM, ISV/OEM Tier 6 (10,000-24,999)",,Conga Composer,Conga Composer
01t50000001avfRAAQ,"Conga Composer for Salesforce CRM, ISV/OEM Tier 7 (25,000-49,999)",,Conga Composer,Conga Composer
01t50000001aelpAAA,Conga Composer for Salesforce Portal and Force.com Platform,,Conga Composer,Conga Composer
01t500000016mv0AAA,Conga Composer for salesforce.com,,Conga Composer,Conga Composer
01t500000016mv1AAA,Conga Composer for salesforce.com,,Conga Composer,Conga Composer
01t50000001AQ6QAAW,Conga Composer Portal and Force.com Platform,,Conga Composer,Conga Composer
01t500000019FQFAA2,Enterprise Service Plan 200 - Annual - Conga Conductor & Workflow,,Conga Composer,Conga Composer
01t5000000186esAAA,Enterprise Service Plan 2000 - Annual - Conga Conductor & Workflow,,Conga Composer,Conga Composer
01t500000019H5sAAE,Enterprise Service Plan 3500 - Annual - Conga Conductor & Workflow,,Conga Composer,Conga Composer
01t5000000186exAAA,Enterprise Service Plan 4000 - Annual - Conga Conductor & Workflow,,Conga Composer,Conga Composer
01t50000004VoemAAC,Excess Utilization: API Events for Conga Composer,,Conga Composer,Conga Composer
01t50000001bRXvAAM,Service Events for Conga Composer,,Conga Composer,Conga Composer
01t50000002cHk1AAE,Service Events for Conga Composer,,Conga Composer,Conga Composer
01t50000001bRWmAAM,Service Events for Conga Composer,,Conga Composer,Conga Composer
01t50000001bRWVAA2,Service Events for Conga Composer,,Conga Composer,Conga Composer
01t50000001bRXbAAM,Service Events for Conga Composer,,Conga Composer,Conga Composer
01t50000001bRX7AAM,Service Events for Conga Composer,,Conga Composer,Conga Composer
01t50000001bRY0AAM,Service Events for Conga Composer,,Conga Composer,Conga Composer
01t50000001bRY5AAM,Service Events for Conga Composer,,Conga Composer,Conga Composer
01t50000001bRXlAAM,Service Events for Conga Composer,,Conga Composer,Conga Composer
01t50000001bRXqAAM,Service Events for Conga Composer,,Conga Composer,Conga Composer
01t50000002d2dHAAQ,Service Events for Conga Composer 0500,,Conga Composer,Conga Composer
01t50000002d2d7AAA,Service Events for Conga Composer 05K,,Conga Composer,Conga Composer
01t50000002d2d2AAA,Service Events for Conga Composer 10K,,Conga Composer,Conga Composer
01t50000002dfK2AAI,Service Events for Conga Composer 25K,,Conga Composer,Conga Composer
01t50000002eR5mAAE,Service Events for Conga Conductor/Conga Workflow,,Conga Composer,Conga Composer
01t50000002blngAAA,Service Events for Conga Conductor/Conga Workflow,,Conga Composer,Conga Composer
01t50000002eR5hAAE,Service Events for Conga Conductor/Conga Workflow,,Conga Composer,Conga Composer
01t500000019c50AAA,Service Events for Conga Conductor/Conga Workflow,,Conga Composer,Conga Composer
01t50000002tRw3AAE,Service Events for Conga Conductor/Conga Workflow- Reseller,,Conga Composer,Conga Composer
01t1T000005KXIIQA4,Transform - Conga Composer - Enterprise,,Conga Composer,Conga Composer
01t50000002tKOhAAM,User Month Service for Conga Composer,,Conga Composer,Conga Composer
01t50000002tHkwAAE,User Month Service for Conga Composer - Non-Profit Edition,,Conga Composer,Conga Composer
01t500000046FlSAAU,Novatus Contracts - Subscription Discount,,Conga Contracts,Conga Contracts
01t50000004SGVEAA4,Novatus Enhanced Support,,Conga Contracts,Conga Contracts
01t50000005Aa5dAAC,Conga Courier,,Conga Courier,Conga Courier
01t50000005AtKyAAK,Conga Courier - Service Events - Site License,,Conga Courier,Conga Courier
01t50000005AtKoAAK,Conga Courier - Service Events Overage,,Conga Courier,Conga Courier
01t50000000kevpAAA,Conga Courier Enterprise - Prepaid Annual Discount,,Conga Courier,Conga Courier
01t50000002bQqkAAE,Conga Courier Enterprise 1750 - Annual,,Conga Courier,Conga Courier
01t50000001agymAAA,Conga Courier Enterprise 25000 - Annual,,Conga Courier,Conga Courier
01t50000002776XAAQ,Conga Courier Enterprise 7500 - Annual,,Conga Courier,Conga Courier
01t50000003UkU3AAK,Conga Courier for Salesforce CRM - Enterprise Site License,,Conga Courier,Conga Courier
01t3Z0000057dU1QAI,CPQ Enterprise Admin,,Conga CPQ,Conga CPQ
01t3Z000005Vm45QAC,CPQ Enterprise Approver,,Conga CPQ,Conga CPQ
01t3Z0000057dU3QAI,CPQ Enterprise Lite,,Conga CPQ,Conga CPQ
01t3Z0000057dU2QAI,CPQ Enterprise Read Only,,Conga CPQ,Conga CPQ
01t3Z0000057dU0QAI,CPQ Enterprise User,,Conga CPQ,Conga CPQ
01t3Z0000057dTqQAI,CPQ Essentials Admin,,Conga CPQ,Conga CPQ
01t3Z000005Vm3vQAC,CPQ Essentials Approver,,Conga CPQ,Conga CPQ
01t3Z000004bMyzQAE,CPQ Essentials Implementation Accelerator Plus,,Conga CPQ,Conga CPQ
01t3Z0000057dTrQAI,CPQ Essentials Lite,,Conga CPQ,Conga CPQ
01t3Z0000057dTsQAI,CPQ Essentials Read Only,,Conga CPQ,Conga CPQ
01t3Z0000057dTpQAI,CPQ Essentials User,,Conga CPQ,Conga CPQ
01t3Z0000057dUgQAI,CPQ for Partners - External Named Users,,Conga CPQ,Conga CPQ
01t3Z0000057dTDQAY,CPQ for Partners - External Pooled Logins,,Conga CPQ,Conga CPQ
01t3Z0000057dTRQAY,CPQ QuickStart Admin,,Conga CPQ,Conga CPQ
